id,estimulo,tiempo
-M5SUkUrSegJJPwm6x5-,Inteligencia artificial,1587485113686
-M5Tl1lBApBD-BoX2J90,Big data,1587506523360
-M5UXPsFzeCrSCMKTiOW,Ciencia de datos,1587519398326
-M5UcRnyTQPmLOBISqqh,Conocimiento,1587520750080
-M5UdKvc0pFv5LDjNbDb,Conocimiento,1587521205118
-M5UdM0OARXWrHCQgXu_,Conocimiento,1587521205118
-M5UdOtuLqJ9nLcn2v-M,Conocimiento,1587521205118
-M5V3AGxZwThM8aBozNW,Inteligencia artificial,1587528216279
-M5Wgd914D78sKJY72vu,Big data,1587555461962
-M5XUIJYlLH8iTGBQODq,Inteligencia artificial,1587568687851
-M5Z06LUW02EYo8a7VVy,Big data,1587594442848
-M5Z9irX59gOsO85SOux,Ciencia de datos,1587596818224
-M5_odgDfIKACFhM8Il-,Ciencia de datos,1587624806001
-M5cQ3AW1Q-s9z2ikHM0,Inteligencia artificial,1587668392411
-M5cZaewWnde6ULjs6r7,Ciencia de datos,1587670979437
-M5cshcl-5RWFcPnqKRd,Conocimiento,1587675907539
-M5dfoSqs0IAPY1YICp1,Big data,1587689510682
-M5gWtdoFsFhqXcV1i74,Ciencia de datos,1587737015600
-M5gxUE3YdFAVh2mywii,Big data,1587744507453
-M5iWVLmEfgMYAzrwsYw,Inteligencia artificial,1587770682419
-M5iYu8kWOxKvUaGQ6HI,Conocimiento,1587771294862
-M5j1X8eXKnXE7aTbTdG,Inteligencia artificial,1587779419889
-M5jE-Z80QkdsSZtTKZy,Big data,1587782737156
-M5lI6XjDnLU0EUKD8Bx,Big data,1587817200068
-M5lUcRXQoDg4tAPkHzm,Inteligencia artificial,1587820590285
-M5nokGcTXyIX3EB84Qb,Inteligencia artificial,1587859568544
-M5nzqk-P8ofooS5mWGJ,Inteligencia artificial,1587862194196
-M5oJ8_0KMwGQGQ-pQCB,Big data,1587867782525
-M5tUgJTRTuAWG6gAvX7,Big data,1587954896802
-M5uG7Bj5wWHmH3peUVA,Inteligencia artificial,1587967661687
-M5wGqkAWJAwwvxBy89o,Big data,1588001586497
-M5wX1AfmIiskq2EUOrI,Big data,1588005622389
-M5ynXsyhPg2CFxcBgpz,Big data,1588043962695
-M601iQG_FHnQWLWxJNI,Inteligencia artificial,1588081127561
-M60sBlUW7NB3rNTK5HT,Conocimiento,1588095544109
-M74J5gezg3O9ja87NNc,Big data,1589226759012
-M74K7zgg_3Lr91ARnwx,Inteligencia artificial,1589227141211
-M74KyXvIMCoHkqczew6,Conocimiento,1589227420584
-M74Tcj272dAK7B25mYP,Big data,1589229664174
-M79mxE5pkUdnJTg9Wfe,Big data,1589318918364
-M7B2oihkxOvZ7u4_vtG,Ciencia de datos,1589340021770
-M7C2RsadFTrnlndpz_L,Big data,1589356745261
